cod_uf,UF,ano,ordem,cod_causa,quantidade,descricao
11,Rondônia,2011,2,X95,246,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
11,Rondônia,2011,3,X99,90,Agressão por meio de objeto cortante ou penetrante
11,Rondônia,2011,4,V29,49,Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2011,5,X70,43,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
11,Rondônia,2011,6,W74,43,Afogamento e submersão não especificados
11,Rondônia,2011,7,V23,38,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
11,Rondônia,2011,8,V49,35,Ocupante de um automóvel [carro] traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2011,9,V09,29,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2011,10,V24,24,Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
11,Rondônia,2012,1,X95,290,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
11,Rondônia,2012,2,V89,261,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
11,Rondônia,2012,3,X99,111,Agressão por meio de objeto cortante ou penetrante
11,Rondônia,2012,4,V49,71,Ocupante de um automóvel [carro] traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2012,5,V29,53,Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2012,6,W74,51,Afogamento e submersão não especificados
11,Rondônia,2012,7,X70,46,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
11,Rondônia,2012,8,X93,39,Agressão por meio de disparo de arma de fogo de mão
11,Rondônia,2012,9,Y09,35,Agressão por meios não especificados
11,Rondônia,2012,10,V23,34,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
11,Rondônia,2013,1,X95,269,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
11,Rondônia,2013,2,V89,128,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
11,Rondônia,2013,3,X99,94,Agressão por meio de objeto cortante ou penetrante
11,Rondônia,2013,4,V49,54,Ocupante de um automóvel [carro] traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2013,5,X70,50,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
11,Rondônia,2013,6,V23,44,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
11,Rondônia,2013,7,V29,44,Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2013,8,W19,39,Queda sem especificação
11,Rondônia,2013,9,Y09,38,Agressão por meios não especificados
11,Rondônia,2013,10,W74,34,Afogamento e submersão não especificados
11,Rondônia,2014,1,X95,337,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
11,Rondônia,2014,2,V89,167,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
11,Rondônia,2014,3,X99,96,Agressão por meio de objeto cortante ou penetrante
11,Rondônia,2014,4,V29,54,Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2014,5,V49,50,Ocupante de um automóvel [carro] traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2014,6,X70,49,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
11,Rondônia,2014,7,X93,48,Agressão por meio de disparo de arma de fogo de mão
11,Rondônia,2014,8,V23,42,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
11,Rondônia,2014,9,W19,38,Queda sem especificação
11,Rondônia,2014,10,V28,29,Motociclista traumatizado em um acidente de transporte sem colisão
11,Rondônia,2015,1,X95,318,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
11,Rondônia,2015,2,X99,129,Agressão por meio de objeto cortante ou penetrante
11,Rondônia,2015,3,V89,111,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
11,Rondônia,2015,4,X70,76,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
11,Rondônia,2015,5,V29,66,Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2015,6,X93,58,Agressão por meio de disparo de arma de fogo de mão
11,Rondônia,2015,7,V23,43,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
11,Rondônia,2015,8,W19,41,Queda sem especificação
11,Rondônia,2015,9,W74,41,Afogamento e submersão não especificados
11,Rondônia,2015,10,Y00,37,Agressão por meio de um objeto contundente
11,Rondônia,2016,1,X95,368,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
11,Rondônia,2016,2,X99,129,Agressão por meio de objeto cortante ou penetrante
11,Rondônia,2016,3,V89,94,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
11,Rondônia,2016,4,X93,93,Agressão por meio de disparo de arma de fogo de mão
11,Rondônia,2016,5,X70,66,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
11,Rondônia,2016,6,V29,63,Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2016,7,V23,49,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
11,Rondônia,2016,8,Y00,46,Agressão por meio de um objeto contundente
11,Rondônia,2016,9,V24,38,Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
11,Rondônia,2016,10,W01,35,"Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés]"
11,Rondônia,2017,1,X95,307,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
11,Rondônia,2017,2,X99,97,Agressão por meio de objeto cortante ou penetrante
11,Rondônia,2017,3,X70,77,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
11,Rondônia,2017,4,V23,76,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
11,Rondônia,2017,5,X93,66,Agressão por meio de disparo de arma de fogo de mão
11,Rondônia,2017,6,V89,53,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
11,Rondônia,2017,7,V29,44,Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2017,8,V22,39,Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas
11,Rondônia,2017,9,Y00,37,Agressão por meio de um objeto contundente
11,Rondônia,2017,10,W74,36,Afogamento e submersão não especificados
11,Rondônia,2018,1,X95,251,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
11,Rondônia,2018,2,X99,101,Agressão por meio de objeto cortante ou penetrante
11,Rondônia,2018,3,X70,100,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
11,Rondônia,2018,4,V89,50,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
11,Rondônia,2018,5,X93,46,Agressão por meio de disparo de arma de fogo de mão
11,Rondônia,2018,6,V23,37,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
11,Rondônia,2018,7,W01,35,"Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés]"
11,Rondônia,2018,8,Y00,34,Agressão por meio de um objeto contundente
11,Rondônia,2018,9,W69,32,Afogamento e submersão em águas naturais
11,Rondônia,2018,10,V29,29,Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
12,Acre,2008,1,V89,78,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
12,Acre,2008,2,X99,70,Agressão por meio de objeto cortante ou penetrante
12,Acre,2008,3,X95,33,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
12,Acre,2008,4,X70,19,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
12,Acre,2008,5,W74,13,Afogamento e submersão não especificados
12,Acre,2008,6,W87,8,Exposição a corrente elétrica não especificada
12,Acre,2008,7,V92,5,Afogamento e submersão relacionados com transporte por água sem acidente com a embarcação
12,Acre,2008,8,W69,5,Afogamento e submersão em águas naturais
12,Acre,2008,9,W18,5,Outras quedas no mesmo nível
12,Acre,2008,10,Y00,5,Agressão por meio de um objeto contundente
12,Acre,2009,1,V89,101,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
12,Acre,2009,2,X99,60,Agressão por meio de objeto cortante ou penetrante
12,Acre,2009,3,X95,54,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
12,Acre,2009,4,X70,20,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
12,Acre,2009,5,W74,15,Afogamento e submersão não especificados
12,Acre,2009,6,Y00,15,Agressão por meio de um objeto contundente
12,Acre,2009,7,W18,7,Outras quedas no mesmo nível
12,Acre,2009,8,V94,5,Outros acidentes de transporte por água e os não especificados
12,Acre,2009,9,W87,4,Exposição a corrente elétrica não especificada
12,Acre,2009,10,X74,4,Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada
12,Acre,2010,1,V89,112,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
12,Acre,2010,2,X99,72,Agressão por meio de objeto cortante ou penetrante
12,Acre,2010,3,X95,54,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
12,Acre,2010,4,X70,23,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
12,Acre,2010,5,W74,16,Afogamento e submersão não especificados
12,Acre,2010,6,W19,14,Queda sem especificação
12,Acre,2010,7,Y04,10,Agressão por meio de força corporal
12,Acre,2010,8,Y00,9,Agressão por meio de um objeto contundente
12,Acre,2010,9,W18,8,Outras quedas no mesmo nível
12,Acre,2010,10,W69,6,Afogamento e submersão em águas naturais
12,Acre,2011,1,V89,117,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
12,Acre,2011,2,X99,80,Agressão por meio de objeto cortante ou penetrante
12,Acre,2011,3,X95,41,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
12,Acre,2011,4,X70,25,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
12,Acre,2011,5,Y00,21,Agressão por meio de um objeto contundente
12,Acre,2011,6,W74,20,Afogamento e submersão não especificados
12,Acre,2011,7,W69,12,Afogamento e submersão em águas naturais
12,Acre,2011,8,W19,12,Queda sem especificação
12,Acre,2011,9,W87,11,Exposição a corrente elétrica não especificada
12,Acre,2011,10,W18,10,Outras quedas no mesmo nível
12,Acre,2012,1,X99,87,Agressão por meio de objeto cortante ou penetrante
12,Acre,2012,2,X95,72,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
12,Acre,2012,3,V89,67,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
12,Acre,2012,4,X70,30,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
12,Acre,2012,5,W74,23,Afogamento e submersão não especificados
12,Acre,2012,6,Y00,15,Agressão por meio de um objeto contundente
12,Acre,2012,7,W19,13,Queda sem especificação
12,Acre,2012,8,V23,13,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
12,Acre,2012,9,W87,12,Exposição a corrente elétrica não especificada
12,Acre,2012,10,W69,11,Afogamento e submersão em águas naturais
12,Acre,2013,1,X99,78,Agressão por meio de objeto cortante ou penetrante
12,Acre,2013,2,V89,53,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
12,Acre,2013,3,X93,48,Agressão por meio de disparo de arma de fogo de mão
12,Acre,2013,4,X95,48,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
12,Acre,2013,5,Y00,44,Agressão por meio de um objeto contundente
12,Acre,2013,6,X70,40,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
12,Acre,2013,7,W74,24,Afogamento e submersão não especificados
12,Acre,2013,8,W69,14,Afogamento e submersão em águas naturais
12,Acre,2013,9,W87,14,Exposição a corrente elétrica não especificada
12,Acre,2013,10,V23,12,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
12,Acre,2014,1,X95,112,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
12,Acre,2014,2,X99,79,Agressão por meio de objeto cortante ou penetrante
12,Acre,2014,3,V89,57,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
12,Acre,2014,4,X70,41,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
12,Acre,2014,5,W18,22,Outras quedas no mesmo nível
12,Acre,2014,6,W74,22,Afogamento e submersão não especificados
12,Acre,2014,7,Y00,18,Agressão por meio de um objeto contundente
12,Acre,2014,8,W87,11,Exposição a corrente elétrica não especificada
12,Acre,2014,9,W69,9,Afogamento e submersão em águas naturais
12,Acre,2014,10,V03,8,"Pedestre traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
12,Acre,2015,1,X99,74,Agressão por meio de objeto cortante ou penetrante
12,Acre,2015,2,X95,57,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
12,Acre,2015,3,X93,55,Agressão por meio de disparo de arma de fogo de mão
12,Acre,2015,4,V89,43,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
12,Acre,2015,5,X70,34,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
12,Acre,2015,6,W74,34,Afogamento e submersão não especificados
12,Acre,2015,7,W69,18,Afogamento e submersão em águas naturais
12,Acre,2015,8,W18,14,Outras quedas no mesmo nível
12,Acre,2015,9,V23,13,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
12,Acre,2015,10,Y00,10,Agressão por meio de um objeto contundente
12,Acre,2016,1,X95,215,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
12,Acre,2016,2,X99,109,Agressão por meio de objeto cortante ou penetrante
12,Acre,2016,3,V89,57,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
12,Acre,2016,4,X70,43,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
12,Acre,2016,5,W74,17,Afogamento e submersão não especificados
12,Acre,2016,6,W18,13,Outras quedas no mesmo nível
12,Acre,2016,7,W20,10,"Impacto causado por objeto lançado, projetado ou em queda"
12,Acre,2016,8,W87,10,Exposição a corrente elétrica não especificada
12,Acre,2016,9,W69,9,Afogamento e submersão em águas naturais
12,Acre,2016,10,V23,9,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
12,Acre,2017,1,X95,365,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
12,Acre,2017,2,X99,96,Agressão por meio de objeto cortante ou penetrante
12,Acre,2017,3,X70,51,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
12,Acre,2017,4,V89,40,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
12,Acre,2017,5,W18,25,Outras quedas no mesmo nível
12,Acre,2017,6,Y00,16,Agressão por meio de um objeto contundente
12,Acre,2017,7,V23,14,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
12,Acre,2017,8,W87,12,Exposição a corrente elétrica não especificada
12,Acre,2017,9,W74,11,Afogamento e submersão não especificados
12,Acre,2017,10,W69,11,Afogamento e submersão em águas naturais
12,Acre,2018,1,X95,275,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
12,Acre,2018,2,X99,75,Agressão por meio de objeto cortante ou penetrante
12,Acre,2018,3,X70,49,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
12,Acre,2018,4,V89,32,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
12,Acre,2018,5,X93,27,Agressão por meio de disparo de arma de fogo de mão
12,Acre,2018,6,W74,17,Afogamento e submersão não especificados
12,Acre,2018,7,W18,16,Outras quedas no mesmo nível
12,Acre,2018,8,W01,15,"Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés]"
12,Acre,2018,9,Y04,9,Agressão por meio de força corporal
12,Acre,2018,10,W87,9,Exposição a corrente elétrica não especificada
13,Amazonas,2008,1,X95,438,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
13,Amazonas,2008,2,X99,282,Agressão por meio de objeto cortante ou penetrante
13,Amazonas,2008,3,V09,122,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
13,Amazonas,2008,4,X70,113,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
13,Amazonas,2008,5,W69,102,Afogamento e submersão em águas naturais
13,Amazonas,2008,6,V89,102,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
13,Amazonas,2008,7,V90,86,Acidente com embarcação causando afogamento e submersão
13,Amazonas,2008,8,Y09,38,Agressão por meios não especificados
13,Amazonas,2008,9,W18,36,Outras quedas no mesmo nível
13,Amazonas,2008,10,W19,36,Queda sem especificação
13,Amazonas,2009,1,X95,559,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
13,Amazonas,2009,2,X99,252,Agressão por meio de objeto cortante ou penetrante
13,Amazonas,2009,3,X70,129,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
13,Amazonas,2009,4,V09,113,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
13,Amazonas,2009,5,W69,109,Afogamento e submersão em águas naturais
13,Amazonas,2009,6,V89,86,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
13,Amazonas,2009,7,Y09,46,Agressão por meios não especificados
13,Amazonas,2009,8,W70,39,Afogamento e submersão conseqüentes a queda dentro de águas naturais
13,Amazonas,2009,9,W19,37,Queda sem especificação
13,Amazonas,2009,10,W87,31,Exposição a corrente elétrica não especificada
13,Amazonas,2010,1,X95,619,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
13,Amazonas,2010,2,X99,331,Agressão por meio de objeto cortante ou penetrante
13,Amazonas,2010,3,V09,163,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
13,Amazonas,2010,4,X70,129,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
13,Amazonas,2010,5,V89,116,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
13,Amazonas,2010,6,W69,81,Afogamento e submersão em águas naturais
13,Amazonas,2010,7,Y09,51,Agressão por meios não especificados
13,Amazonas,2010,8,W74,46,Afogamento e submersão não especificados
13,Amazonas,2010,9,W18,37,Outras quedas no mesmo nível
13,Amazonas,2010,10,W19,32,Queda sem especificação
13,Amazonas,2011,1,X95,864,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
13,Amazonas,2011,2,X99,305,Agressão por meio de objeto cortante ou penetrante
13,Amazonas,2011,3,V09,181,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
13,Amazonas,2011,4,X70,159,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
13,Amazonas,2011,5,V89,138,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
13,Amazonas,2011,6,W69,95,Afogamento e submersão em águas naturais
13,Amazonas,2011,7,W74,55,Afogamento e submersão não especificados
13,Amazonas,2011,8,Y09,51,Agressão por meios não especificados
13,Amazonas,2011,9,W19,47,Queda sem especificação
13,Amazonas,2011,10,W87,30,Exposição a corrente elétrica não especificada
13,Amazonas,2012,1,X95,838,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
13,Amazonas,2012,2,X99,329,Agressão por meio de objeto cortante ou penetrante
13,Amazonas,2012,3,X70,160,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
13,Amazonas,2012,4,V09,141,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
13,Amazonas,2012,5,V89,101,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
13,Amazonas,2012,6,W69,91,Afogamento e submersão em águas naturais
13,Amazonas,2012,7,X42,67,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte
13,Amazonas,2012,8,Y00,65,Agressão por meio de um objeto contundente
13,Amazonas,2012,9,W74,53,Afogamento e submersão não especificados
13,Amazonas,2012,10,W70,44,Afogamento e submersão conseqüentes a queda dentro de águas naturais
13,Amazonas,2013,1,X95,674,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
13,Amazonas,2013,2,X99,329,Agressão por meio de objeto cortante ou penetrante
13,Amazonas,2013,3,X70,187,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
13,Amazonas,2013,4,V09,142,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
13,Amazonas,2013,5,X42,119,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte
13,Amazonas,2013,6,W69,100,Afogamento e submersão em águas naturais
13,Amazonas,2013,7,V89,76,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
13,Amazonas,2013,8,Y09,61,Agressão por meios não especificados
13,Amazonas,2013,9,Y00,52,Agressão por meio de um objeto contundente
13,Amazonas,2013,10,W18,50,Outras quedas no mesmo nível
13,Amazonas,2014,1,X95,741,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
13,Amazonas,2014,2,X99,306,Agressão por meio de objeto cortante ou penetrante
13,Amazonas,2014,3,X70,192,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
13,Amazonas,2014,4,X42,130,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte
13,Amazonas,2014,5,V09,119,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
13,Amazonas,2014,6,W69,118,Afogamento e submersão em águas naturais
13,Amazonas,2014,7,V89,75,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
13,Amazonas,2014,8,Y00,59,Agressão por meio de um objeto contundente
13,Amazonas,2014,9,Y09,52,Agressão por meios não especificados
13,Amazonas,2014,10,V28,49,Motociclista traumatizado em um acidente de transporte sem colisão
13,Amazonas,2015,1,X95,902,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
13,Amazonas,2015,2,X99,325,Agressão por meio de objeto cortante ou penetrante
13,Amazonas,2015,3,X70,224,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
13,Amazonas,2015,4,X42,135,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte
13,Amazonas,2015,5,W69,124,Afogamento e submersão em águas naturais
13,Amazonas,2015,6,V09,101,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
13,Amazonas,2015,7,W18,66,Outras quedas no mesmo nível
13,Amazonas,2015,8,Y00,59,Agressão por meio de um objeto contundente
13,Amazonas,2015,9,X91,57,"Agressão por meio de enforcamento, estrangulamento e sufocação"
13,Amazonas,2015,10,W74,54,Afogamento e submersão não especificados
13,Amazonas,2016,1,X95,761,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
13,Amazonas,2016,2,X99,412,Agressão por meio de objeto cortante ou penetrante
13,Amazonas,2016,3,X42,198,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte
13,Amazonas,2016,4,X70,165,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
13,Amazonas,2016,5,W69,108,Afogamento e submersão em águas naturais
13,Amazonas,2016,6,Y04,88,Agressão por meio de força corporal
13,Amazonas,2016,7,V09,85,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
13,Amazonas,2016,8,Y09,51,Agressão por meios não especificados
13,Amazonas,2016,9,W74,50,Afogamento e submersão não especificados
13,Amazonas,2016,10,Y00,46,Agressão por meio de um objeto contundente
13,Amazonas,2017,1,X95,954,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
13,Amazonas,2017,2,X99,435,Agressão por meio de objeto cortante ou penetrante
13,Amazonas,2017,3,X70,178,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
13,Amazonas,2017,4,X42,114,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte
